permit_id,permit_num,revision_num,permit_type_id,application_date,issued_date,completed_date,est_const_cost,description,dwelling_units_created,dwelling_units_lost,ward_id,structure_type_id,work_type_id,status_id,builder_id,address_id,address_id,street_num,postal,street_id,,,,,,,
23712,21 194960 BLD,0,2,2021-08-07,2021-08-18,NULL,100000.00,Proposal for interior ceiling renovation on meeting room.,0,0,49590,118,67,32,NULL,6,6,1,M4T,91,,,,,,,
25676,20 159505 PLB,0,16,2020-06-23,2020-07-13,NULL,NULL,Plumbing  - Proposal for interior alterations to 2nd floor of existing office building.,0,0,49590,118,21,21,NULL,6,6,1,M4T,91,,,,,,,
28457,07 137259 HVA,0,10,2007-04-03,2007-04-20,NULL,NULL,HVAC - Interior alterations to existing office on the 10th floor.  Suite 1002,0,0,49590,118,20,32,NULL,6,6,1,M4T,91,,,,,,,
1811,08 113142 HVA,0,10,2008-02-22,2008-06-11,NULL,NULL,HVAC - Interior alterations to portion of existing office suite on 12th floor. Suite 1200. Single Tenant Floor.,0,0,49705,118,20,32,NULL,7,7,1,M4V,92,,,,,,,
10650,20 123062 BLD,0,2,2020-03-06,2020-03-23,NULL,40000.00,Proposal for minor interior alterations to an existing office suite - Suite 1102,0,0,49705,118,67,32,NULL,7,7,1,M4V,92,,,,,,,
11067,20 119145 HVA,0,10,2020-02-25,2020-06-02,NULL,NULL,"HVAC - Proposal for interior alterations to create open office work spaces, offices and meeting rooms. Work includes changes to HVAC, plumbing, electrical and partitions.",0,0,49705,118,20,32,NULL,7,7,1,M4V,92,,,,,,,
13990,20 119145 PLB,0,16,2020-02-25,2020-06-02,NULL,NULL,"Plumbing  - Proposal for interior alterations to create open office work spaces, offices and meeting rooms. Work includes changes to HVAC, plumbing, electrical and partitions.",0,0,49705,118,21,32,NULL,7,7,1,M4V,92,,,,,,,
17078,16 200309 HVA,0,10,2016-08-02,2016-08-24,NULL,NULL,"HVAC - Ground floor bank branch interior renovation, Second Floor existing barrier-free washroom upgrade to Universal Washroom,  including associated electrical and mechanical renovation work",0,0,49705,118,20,21,NULL,7,7,1,M4V,92,,,,,,,
18918,08 164541 HVA,0,10,2008-06-02,2008-06-13,NULL,NULL,HVAC - Proposal for interior alterations to create one office on 7th floor for existing tenant.  Floor is single-tenanted.,0,0,49705,118,20,21,NULL,7,7,1,M4V,92,,,,,,,
20578,08 170031 BLD,0,2,2008-06-13,2008-06-17,NULL,50000.00,Minor interior alterations to existing office space on the 11th floor.  Suite 1103.,0,0,49705,118,67,21,NULL,7,7,1,M4V,92,,,,,,,
20738,06 125166 BLD,0,2,2006-04-11,2006-06-01,NULL,5000.00,Interior alterations to an existing office space on the 5th floor,0,0,49705,118,67,21,NULL,7,7,1,M4V,92,,,,,,,
21612,16 200309 BLD,0,2,2016-08-02,2016-08-04,NULL,800000.00,"Ground floor bank branch interior renovation, Second Floor existing barrier-free washroom upgrade to Universal Washroom,  including associated electrical and mechanical renovation work",0,0,49705,118,67,21,NULL,7,7,1,M4V,92,,,,,,,
27070,08 113142 BLD,0,2,2008-02-22,2008-06-11,NULL,50000.00,Interior alterations to portion of existing office suite on 12th floor. Suite 1200. Single Tenant Floor.,0,0,49705,118,67,21,NULL,7,7,1,M4V,92,,,,,,,
27799,20 119145 BLD,0,2,2020-02-25,2020-06-02,NULL,800000.00,"Proposal for interior alterations to create open office work spaces: offices and meeting rooms.  Scope of work includes changes to HVAC, plumbing, electrical and partitions.",0,0,49705,118,67,32,NULL,7,7,1,M4V,92,,,,,,,
2414,13 231489 FSU,0,9,2013-09-06,2015-04-16,NULL,500000.00,To install a new sprinkler system throughout the whole of the building from basement level parking garage to mechanical pentahouse above the 75th floor of the building.  Amount Paid in NB 10 299436.,0,0,44462,9,118,21,NULL,8,8,1,M4W,8,,,,,,,
3530,17 275306 PLB,1,16,2018-05-02,2018-06-13,NULL,NULL,"Revision #01 - Changes in design level P1, Valet Pcik-Up/Drop-Off Area and new entrance vestibule.Plumbing  - Proposed interior alterations to existing retail unit for tenacnt fit-out *First Capital Realty Inc* unit CRU#6.",0,0,44462,162,21,44,NULL,8,8,1,M4W,8,,,,,,,
4241,10 299436 BLD,4,12,2021-09-26,2021-11-04,NULL,0.00,"Revision 01 - revised levels 75 and 76, penthouse suite layouts, add 1 new penthouse suite (note no change of GFA or constructtion area)Revision 3:add new sliding pocket door on ground floor.",4,0,44462,106,75,44,NULL,8,8,1,M4W,8,,,,,,,
4396,22 133611 FSU,0,9,2022-04-12,2022-05-04,NULL,10000.00,Proposal for strobe lights in Penthouse suites - See original permit 10 299436,0,0,44462,110,37,32,NULL,8,8,1,M4W,8,,,,,,,
4497,23 232725 PLB,0,16,2024-01-19,2024-01-23,NULL,NULL,Plumbing  - Proposed base building work for new tenant. - CRU#3A.,0,0,44462,162,21,21,NULL,8,8,1,M4W,8,,,,,,,
7273,24 122234 BLD,0,2,2024-03-05,2024-04-18,NULL,8000000.00,"NEW TENANT BUILD OUT WITHIN EXISTING RETAIL SHELL SPACE. SCOPE INCLUDES MINOR DEMOLITION, NEW PARTITIONS, CEILINGS, FINISHES, STIARS, MILLWORK AND MECHANICAL & ELECTRCIAL PROVISIONS",0,0,44462,162,67,21,NULL,8,8,1,M4W,8,,,,,,,
8494,23 235431 PLB,0,16,2024-05-17,2024-11-05,NULL,NULL,Plumbing  - To convert the existing space to a new fitness facility on the first and second floors - CRU #3B,0,0,44462,53,21,21,NULL,8,8,1,M4W,8,,,,,,,
10705,24 122234 HVA,1,10,2024-10-15,2024-10-22,NULL,NULL,"REV 01 - UPDATES TO HVAC AND PLUMBING LAYOUTS ON GROUND AND SECOND FLOORSHVAC - NEW TENANT BUILD OUT WITHIN EXISTING RETAIL SHELL SPACE. SCOPE INCLUDES MINOR DEMOLITION, NEW PARTITIONS, CEILINGS, FINISHES, STIARS, MILLWORK AND MECHANICAL & ELECTRCIAL PROVISIONS",0,0,44462,162,20,44,NULL,8,8,1,M4W,8,,,,,,,
11226,24 123940 PLB,0,16,2024-03-11,2024-05-13,NULL,NULL,Plumbing  - Base Building Work in Preparation for New Tenant  UNIT 3B  Front Entrance and Back Exterior Wall Modification (See drawing A2032 and A5033).Minor Sprinkler Adjustments,0,0,44462,162,21,32,NULL,8,8,1,M4W,8,,,,,,,
11316,24 170196 BLD,0,2,2024-06-26,2024-08-06,NULL,1500000.00,Interior alterations to unit 3A for existing bank,0,0,44462,16,67,21,NULL,8,8,1,M4W,8,,,,,,,
